KT_USC,WOJEWÓDZTWO,POWIAT,GMINA,IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
2063011,PODLASKIE,SUWAŁKI,SUWAŁKI,WIKTOR,MĘŻCZYZNA,7
2063011,PODLASKIE,SUWAŁKI,SUWAŁKI,TYMOTEUSZ,MĘŻCZYZNA,6
2063011,PODLASKIE,SUWAŁKI,SUWAŁKI,MIŁOSZ,MĘŻCZYZNA,6
2063011,PODLASKIE,SUWAŁKI,SUWAŁKI,ALAN,MĘŻCZYZNA,5
2063011,PODLASKIE,SUWAŁKI,SUWAŁKI,JAN,MĘŻCZYZNA,5
2063011,PODLASKIE,SUWAŁKI,SUWAŁKI,DAWID,MĘŻCZYZNA,5
2063011,PODLASKIE,SUWAŁKI,SUWAŁKI,DOMINIK,MĘŻCZYZNA,5
2063011,PODLASKIE,SUWAŁKI,SUWAŁKI,JULIAN,MĘŻCZYZNA,4
2063011,PODLASKIE,SUWAŁKI,SUWAŁKI,FILIP,MĘŻCZYZNA,4
2063011,PODLASKIE,SUWAŁKI,SUWAŁKI,SZYMON,MĘŻCZYZNA,4
2063011,PODLASKIE,SUWAŁKI,SUWAŁKI,OLIWIER,MĘŻCZYZNA,4
2063011,PODLASKIE,SUWAŁKI,SUWAŁKI,WOJCIECH,MĘŻCZYZNA,4
2063011,PODLASKIE,SUWAŁKI,SUWAŁKI,OSKAR,MĘŻCZYZNA,3
2063011,PODLASKIE,SUWAŁKI,SUWAŁKI,HUBERT,MĘŻCZYZNA,3
2063011,PODLASKIE,SUWAŁKI,SUWAŁKI,WITOLD,MĘŻCZYZNA,3
2063011,PODLASKIE,SUWAŁKI,SUWAŁKI,BARTOSZ,MĘŻCZYZNA,3
2063011,PODLASKIE,SUWAŁKI,SUWAŁKI,LUCJAN,MĘŻCZYZNA,3
2063011,PODLASKIE,SUWAŁKI,SUWAŁKI,TOMASZ,MĘŻCZYZNA,3
