Kod,Nazwa,ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym,ludność w wieku poprodukcyjnym na 100 osób w wieku przedprodukcyjnym,ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym,współczynnik obciążenia demograficznego osobami starszymi,odsetek osób w wieku 65 lat i więcej w populacji ogółem,odsetek osób w wieku 65 lat i więcej w populacji ogółem - mężczyźni,odsetek osób w wieku 65 lat i więcej w populacji ogółem - kobiety
,,2024,2024,2024,2024,2024,2024,2024
,,[osoba],[osoba],[osoba],[osoba],[osoba],[osoba],[osoba]
0609000,Powiat lubelski,"68,4","99,6","34,1","26,4","17,4","14,6","20,2"
0610000,Powiat łęczyński,"70,0","109,7","36,6","27,3","18,0","15,3","20,5"
0611000,Powiat łukowski,"75,0","107,4","38,8","30,1","19,2","15,8","22,6"
0612000,Powiat opolski,"73,2","153,2","44,3","34,8","22,3","18,5","25,8"
0613000,Powiat parczewski,"73,6","148,9","44,1","34,9","22,3","18,3","26,2"
0614000,Powiat puławski,"79,7","165,4","49,7","38,6","24,2","19,8","28,2"
0615000,Powiat radzyński,"72,9","129,6","41,1","31,4","20,4","16,9","23,8"
0616000,Powiat rycki,"80,7","143,1","47,5","36,6","22,9","18,9","26,7"
0617000,Powiat świdnicki,"75,9","152,3","45,8","36,1","22,9","18,8","26,6"
0618000,Powiat tomaszowski,"72,6","163,1","45,0","34,8","22,5","18,8","26,1"
0619000,Powiat włodawski,"75,4","154,3","45,8","35,3","22,6","18,5","26,6"
0620000,Powiat zamojski,"70,6","146,7","42,0","32,5","21,3","17,8","24,6"
0661000,Powiat m. Biała Podlaska,"77,7","140,6","45,4","34,6","21,9","18,0","25,4"
0662000,Powiat m. Chełm,"80,2","200,0","53,5","41,1","25,7","20,7","30,1"
0663000,Powiat m. Lublin,"73,4","149,9","44,1","35,2","22,3","17,9","26,1"
0664000,Powiat m. Zamość,"81,8","177,6","52,3","39,7","24,8","20,9","28,3"
0800000,LUBUSKIE,"72,3","137,2","41,8","32,5","21,1","17,7","24,2"
0801000,Powiat gorzowski,"66,3","102,3","33,5","25,3","17,0","14,7","19,2"
0802000,Powiat krośnieński,"69,5","142,0","40,8","31,7","20,8","17,4","24,1"
