Kod,Nazwa,ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym,ludność w wieku poprodukcyjnym na 100 osób w wieku przedprodukcyjnym,ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym,współczynnik obciążenia demograficznego osobami starszymi,odsetek osób w wieku 65 lat i więcej w populacji ogółem,odsetek osób w wieku 65 lat i więcej w populacji ogółem - mężczyźni,odsetek osób w wieku 65 lat i więcej w populacji ogółem - kobiety
,,2024,2024,2024,2024,2024,2024,2024
,,[osoba],[osoba],[osoba],[osoba],[osoba],[osoba],[osoba]
2410000,Powiat pszczyński,"70,7","97,5","34,9","25,5","16,8","14,9","18,7"
2411000,Powiat raciborski,"69,5","148,1","41,5","31,4","20,7","17,4","23,7"
2412000,Powiat rybnicki,"70,7","108,7","36,8","27,6","18,1","15,5","20,6"
2413000,Powiat tarnogórski,"72,6","133,5","41,5","32,1","20,8","17,8","23,6"
2414000,Powiat bieruńsko-lędziński,"70,3","104,7","36,0","26,7","17,6","15,3","19,8"
2415000,Powiat wodzisławski,"72,1","129,9","40,7","30,9","20,1","17,0","23,0"
2416000,Powiat zawierciański,"77,6","177,5","49,6","38,6","24,3","20,6","27,8"
2417000,Powiat żywiecki,"70,3","119,4","38,3","29,3","19,2","16,2","22,0"
2461000,Powiat m. Bielsko-Biała,"78,8","162,8","48,8","38,9","24,2","19,9","28,0"
2462000,Powiat m. Bytom,"69,3","161,2","42,8","33,3","21,8","17,7","25,5"
2463000,Powiat m. Chorzów,"68,4","147,9","40,8","32,5","21,2","16,9","25,1"
2464000,Powiat m. Częstochowa,"80,9","202,7","54,2","42,4","26,3","21,6","30,4"
2465000,Powiat m. Dąbrowa Górnicza,"79,5","189,6","52,1","41,2","25,6","21,8","29,1"
2466000,Powiat m. Gliwice,"75,8","165,3","47,2","37,4","23,6","19,7","27,2"
2467000,Powiat m. Jastrzębie-Zdrój,"71,5","154,8","43,4","34,4","22,3","18,3","26,0"
2468000,Powiat m. Jaworzno,"72,8","157,3","44,5","33,7","21,8","18,4","25,1"
2469000,Powiat m. Katowice,"72,0","183,5","46,6","37,0","23,7","19,8","27,2"
2470000,Powiat m. Mysłowice,"72,0","132,3","41,0","30,8","20,1","17,1","22,8"
2471000,Powiat m. Piekary Śląskie,"75,0","163,1","46,5","35,5","22,7","19,0","26,2"
2472000,Powiat m. Ruda Śląska,"71,8","140,6","42,0","32,1","20,9","17,4","24,1"
2473000,Powiat m. Rybnik,"72,4","139,4","42,2","32,3","21,0","17,8","23,9"
2474000,Powiat m. Siemianowice Śląskie,"75,2","163,6","46,7","36,2","23,1","19,3","26,5"
2475000,Powiat m. Sosnowiec,"79,4","213,2","54,1","43,0","26,7","22,0","30,7"
2476000,Powiat m. Świętochłowice,"71,1","153,7","43,1","33,8","21,9","17,8","25,6"
2477000,Powiat m. Tychy,"78,9","157,1","48,2","37,9","23,7","20,2","26,9"
2478000,Powiat m. Zabrze,"70,6","162,2","43,7","33,7","22,0","18,7","25,0"
2479000,Powiat m. Żory,"74,8","125,6","41,7","33,2","21,1","18,2","23,8"
2600000,ŚWIĘTOKRZYSKIE,"75,6","162,1","46,8","36,5","23,2","19,6","26,6"
2601000,Powiat buski,"76,3","171,4","48,2","37,8","24,0","20,5","27,3"
2602000,Powiat jędrzejowski,"76,5","149,9","45,9","36,0","22,8","19,6","25,8"
2603000,Powiat kazimierski,"72,7","181,7","46,9","36,7","23,6","20,2","26,9"
2604000,Powiat kielecki,"67,7","107,0","35,0","26,6","17,7","15,4","20,1"
2605000,Powiat konecki,"76,6","185,8","49,8","39,1","24,7","20,6","28,7"
2606000,Powiat opatowski,"74,0","168,7","46,4","36,3","23,3","20,2","26,3"
2607000,Powiat ostrowiecki,"81,8","207,8","55,2","42,4","26,4","22,1","30,3"
2608000,Powiat pińczowski,"78,0","176,2","49,8","39,1","24,5","21,2","27,7"
2609000,Powiat sandomierski,"74,2","175,1","47,2","36,8","23,6","20,2","26,8"
2610000,Powiat skarżyski,"82,1","215,2","56,0","43,5","26,9","22,0","31,4"
2611000,Powiat starachowicki,"78,1","179,3","50,2","38,9","24,5","20,1","28,7"
2612000,Powiat staszowski,"74,5","150,9","44,8","34,8","22,3","19,6","24,9"
2613000,Powiat włoszczowski,"74,1","150,4","44,5","34,8","22,3","19,2","25,3"
2661000,Powiat m. Kielce,"79,6","180,9","51,3","40,8","25,2","20,7","29,1"
2800000,WARMIŃSKO-MAZURSKIE,"70,9","134,5","40,7","31,1","20,3","17,0","23,5"
2801000,Powiat bartoszycki,"72,5","155,6","44,1","33,3","21,7","17,8","25,4"
2802000,Powiat braniewski,"69,5","144,8","41,1","31,1","20,5","17,2","23,8"
2803000,Powiat działdowski,"71,5","122,4","39,4","29,5","19,4","16,5","22,2"
2804000,Powiat elbląski,"68,2","125,9","38,0","28,9","19,2","16,5","22,0"
2805000,Powiat ełcki,"68,6","115,4","36,8","27,7","18,4","15,4","21,4"
2806000,Powiat giżycki,"72,4","145,6","42,9","32,7","21,3","17,8","24,7"
2807000,Powiat iławski,"71,6","116,6","38,6","29,2","19,1","16,3","21,8"
2808000,Powiat kętrzyński,"75,4","165,0","47,0","35,3","22,8","18,8","26,6"
2809000,Powiat lidzbarski,"72,3","148,5","43,2","32,6","21,3","17,5","24,8"
2810000,Powiat mrągowski,"68,7","149,2","41,1","30,5","20,3","17,3","23,1"
2811000,Powiat nidzicki,"69,5","135,0","39,9","30,1","20,0","16,6","23,3"
2812000,Powiat nowomiejski,"70,7","104,3","36,1","27,5","18,0","15,3","20,6"
2813000,Powiat olecki,"70,4","127,4","39,4","30,1","19,7","16,5","22,8"
2814000,Powiat olsztyński,"66,1","106,9","34,1","25,9","17,4","15,1","19,6"
2815000,Powiat ostródzki,"71,7","134,6","41,2","31,4","20,5","17,2","23,7"
2816000,Powiat piski,"69,2","132,9","39,5","29,7","19,7","16,5","23,0"
2817000,Powiat szczycieński,"68,5","128,5","38,5","29,4","19,5","16,1","22,7"
2818000,Powiat gołdapski,"69,6","123,2","38,4","29,3","19,3","16,3","22,2"
2819000,Powiat węgorzewski,"74,6","163,6","46,3","36,1","23,1","19,3","26,8"
2861000,Powiat m. Elbląg,"75,4","168,8","47,4","37,0","23,6","19,4","27,4"
2862000,Powiat m. Olsztyn,"73,1","149,9","43,8","34,5","22,1","18,2","25,6"
3000000,WIELKOPOLSKIE,"70,5","116,1","37,9","29,5","19,2","16,2","22,1"
3001000,Powiat chodzieski,"70,7","128,7","39,8","30,6","20,1","16,7","23,3"
3002000,Powiat czarnkowsko-trzcianecki,"71,8","119,1","39,0","30,2","19,7","16,8","22,4"
3003000,Powiat gnieźnieński,"73,7","115,9","39,6","30,5","19,6","16,5","22,6"
3004000,Powiat gostyński,"72,7","108,6","37,9","28,6","18,5","15,9","21,2"
3005000,Powiat grodziski,"69,7","91,1","33,2","25,2","16,6","14,6","18,5"
3006000,Powiat jarociński,"73,3","113,7","39,0","29,7","19,2","16,2","22,1"
3007000,Powiat kaliski,"70,3","111,6","37,1","28,5","18,6","16,1","21,1"
3008000,Powiat kępiński,"67,9","110,4","35,6","27,6","18,2","15,4","21,0"
3009000,Powiat kolski,"73,9","138,4","42,9","33,1","21,3","17,9","24,6"
3010000,Powiat koniński,"65,5","106,2","33,8","25,8","17,3","15,0","19,7"
3011000,Powiat kościański,"72,7","113,4","38,6","29,6","19,1","16,4","21,7"
3012000,Powiat krotoszyński,"72,7","115,8","39,0","29,8","19,3","16,3","22,2"
3013000,Powiat leszczyński,"68,9","81,9","31,0","23,7","15,6","13,7","17,5"
3014000,Powiat międzychodzki,"72,9","123,8","40,3","31,3","20,2","17,4","22,9"
3015000,Powiat nowotomyski,"71,6","101,8","36,2","27,6","18,0","15,3","20,6"
3016000,Powiat obornicki,"71,0","104,4","36,3","28,0","18,2","15,5","21,0"
3017000,Powiat ostrowski,"72,5","123,7","40,1","30,9","20,0","16,9","23,0"
3018000,Powiat ostrzeszowski,"71,5","113,1","37,9","29,1","19,0","16,1","21,7"
3019000,Powiat pilski,"72,6","135,1","41,7","32,1","20,9","17,7","23,9"
3020000,Powiat pleszewski,"71,5","118,6","38,8","30,1","19,6","16,6","22,5"
3021000,Powiat poznański,"67,0","76,2","29,0","22,4","14,8","12,8","16,7"
3022000,Powiat rawicki,"72,3","111,8","38,1","29,3","19,1","16,2","21,9"
3023000,Powiat słupecki,"71,4","125,6","39,8","30,8","20,0","17,1","22,9"
3024000,Powiat szamotulski,"71,7","106,7","37,0","28,4","18,5","15,9","21,0"
3025000,Powiat średzki,"72,7","98,0","36,0","27,5","17,8","15,0","20,4"
3026000,Powiat śremski,"71,2","106,7","36,8","28,0","18,3","15,3","21,1"
3027000,Powiat turecki,"71,3","119,6","38,9","29,8","19,4","16,2","22,6"
3028000,Powiat wągrowiecki,"71,3","106,3","36,7","27,9","18,3","15,8","20,7"
3029000,Powiat wolsztyński,"72,2","101,3","36,3","27,7","18,0","15,3","20,6"
3030000,Powiat wrzesiński,"70,4","108,6","36,6","28,2","18,5","15,4","21,4"
3031000,Powiat złotowski,"69,0","116,9","37,2","28,6","18,8","16,1","21,5"
3061000,Powiat m. Kalisz,"79,7","179,6","51,2","40,5","25,2","20,4","29,3"
3062000,Powiat m. Konin,"80,9","205,4","54,4","42,8","26,5","21,8","30,6"
3063000,Powiat m. Leszno,"76,8","157,2","47,0","36,8","23,2","19,4","26,7"
3064000,Powiat m. Poznań,"66,4","155,0","40,3","33,1","21,6","17,5","25,2"
3200000,ZACHODNIOPOMORSKIE,"72,7","150,5","43,7","34,2","22,0","18,7","25,2"
3201000,Powiat białogardzki,"70,4","141,6","41,2","32,2","21,1","17,5","24,5"
3202000,Powiat choszczeński,"72,6","154,2","44,0","33,8","21,9","19,0","24,7"
3203000,Powiat drawski,"74,1","145,5","43,9","33,7","21,7","18,7","24,6"
3204000,Powiat goleniowski,"69,4","125,7","38,6","30,1","19,7","16,8","22,5"
3205000,Powiat gryficki,"71,7","146,0","42,5","32,8","21,3","18,5","24,1"
3206000,Powiat gryfiński,"70,0","144,6","41,4","32,0","21,0","18,0","23,8"
3207000,Powiat kamieński,"75,6","181,5","48,7","38,0","24,2","21,0","27,2"
3208000,Powiat kołobrzeski,"76,0","171,6","48,0","37,0","23,6","20,2","26,7"
3209000,Powiat koszaliński,"66,4","122,3","36,5","28,0","18,7","16,6","20,8"
3210000,Powiat myśliborski,"71,6","150,9","43,1","33,8","21,9","18,3","25,3"
3211000,Powiat policki,"65,5","98,4","32,5","24,8","16,7","15,1","18,3"
3212000,Powiat pyrzycki,"74,3","148,4","44,4","34,4","22,1","18,6","25,6"
3213000,Powiat sławieński,"72,8","143,3","42,8","32,9","21,3","18,0","24,5"
3214000,Powiat stargardzki,"72,4","135,2","41,6","32,4","20,9","17,9","23,9"
3215000,Powiat szczecinecki,"75,4","151,2","45,4","35,0","22,5","19,1","25,6"
3216000,Powiat świdwiński,"75,0","157,8","45,9","35,3","22,7","19,4","25,9"
3217000,Powiat wałecki,"71,4","149,5","42,8","33,1","21,5","18,4","24,4"
3218000,Powiat łobeski,"74,9","154,2","45,4","35,1","22,5","18,9","26,0"
3261000,Powiat m. Koszalin,"79,0","173,7","50,1","40,1","24,9","20,2","29,0"
3262000,Powiat m. Szczecin,"73,1","166,1","45,6","36,7","23,4","19,7","26,8"
3263000,Powiat m. Świnoujście,"78,1","209,2","52,8","41,8","26,1","22,4","29,5"
