TABL. III. LUDNOŒÆ, RUCH NATURALNY ORAZ MIGRACJE LUDNOŒCI WED£UG POWIATÓW W 2024 R.;;;;;;;;;;;;;;;;;;;;;;;
                  POPULATION, VITAL STATISTICS AND MIGRATION OF POPULATION BY POWIATS IN 2024.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
"Województwa 
Voivodships
Powiaty
Powiats";"Identyfikator terytorialny
Code";"Ludnoœæ
(stan w dniu 31.12)
Population
(as of 
December 31)";"Ma³¿eñ-stwa 
Marriages";"Urodzenia ¿ywe 
Live births";"Zgony   
Deaths";;"Przyrost naturalny 
Natural increase";"Migracje wewnêtrzne 
Internal migration";;;"Migracje zagraniczne
International migration";;;"Ogólne saldo migracji
Total net migration";"Ma³¿eñ-stwa 
Marriages";"Urodzenia ¿ywe 
Live births";"Zgony 
Deaths";"Przyrost naturalny
Natural increase";"Ogólne saldo migracji 
Total net migration";"Zgony niemowl¹t na 1000 urodzeñ ¿ywych
Infant deaths per 1000 of live births";;;
;;;;;"ogó³em 
total";"w tym niemowl¹t 
of which infant";;"nap³yw 
inflow";"odp³yw 
outflow";"saldo 
net";"imigracja 
immigra-tion";"emigracja 
emigra-tion";"saldo 
net";;;;;;;;;;
;;;;;;;;;;;;;;;"na 1000 ludnoœci    
per 1000 of population";;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
 poznañski;3021;454283;1601;3643;3357;10;286;10201;4972;5229;288;38;250;5479;3,5;8,1;7,4;0,6;12,1;2,7;;;
 rawicki;3022;58338;193;460;625;5;-165;624;707;-83;12;10;2;-81;3,3;7,9;10,7;-2,8;-1,4;10,9;;;
 s³upecki;3023;56994;182;394;594;-;-200;599;688;-89;13;11;2;-87;3,2;6,9;10,4;-3,5;-1,5;-;;;
 szamotulski;3024;91631;328;667;859;3;-192;1215;1026;189;30;18;12;201;3,6;7,3;9,4;-2,1;2,2;4,5;;;
 œredzki;3025;60058;214;521;553;1;-32;825;671;154;22;3;19;173;3,6;8,7;9,2;-0,5;2,9;1,9;;;
 œremski;3026;60939;208;451;658;3;-207;1108;1070;38;18;6;12;50;3,4;7,4;10,8;-3,4;0,8;6,7;;;
 turecki;3027;80513;254;558;861;1;-303;870;993;-123;13;8;5;-118;3,1;6,9;10,7;-3,8;-1,5;1,8;;;
 w¹growiecki;3028;68899;248;498;664;4;-166;816;745;71;11;6;5;76;3,6;7,2;9,6;-2,4;1,1;8,0;;;
 wolsztyñski;3029;56446;204;438;560;-;-122;489;559;-70;17;18;-1;-71;3,6;7,7;9,9;-2,2;-1,3;-;;;
 wrzesiñski;3030;78199;277;649;791;3;-142;1093;929;164;26;12;14;178;3,5;8,3;10,1;-1,8;2,3;4,6;;;
 z³otowski;3031;66975;222;432;663;1;-231;815;911;-96;31;58;-27;-123;3,3;6,4;9,9;-3,4;-1,8;2,3;;;
M.Kalisz;3061;91963;337;488;1244;-;-756;529;878;-349;43;23;20;-329;3,6;5,3;13,4;-8,2;-3,6;-;;;
M.Konin;3062;66103;214;315;877;-;-562;517;891;-374;22;9;13;-361;3,2;4,7;13,2;-8,4;-5,4;-;;;
M.Leszno;3063;59521;212;412;617;1;-205;508;770;-262;16;34;-18;-280;3,5;6,9;10,3;-3,4;-4,7;2,4;;;
M.Poznañ;3064;536151;2602;3999;5674;14;-1675;4986;6467;-1481;468;79;389;-1092;4,8;7,4;10,6;-3,1;-2,0;3,5;;;
WOJ. ZACHODNIOPOMORSKIE;;1622760;5994;9576;18772;29;-9196;20077;20673;-596;1103;646;457;-139;3,7;5,9;11,5;-5,7;-0,1;3,0;;;
 bia³ogardzki;3201;43964;154;260;536;1;-276;483;588;-105;14;20;-6;-111;3,5;5,9;12,1;-6,2;-2,5;3,8;;;
 choszczeñski;3202;44105;130;229;541;1;-312;523;599;-76;12;8;4;-72;2,9;5,2;12,2;-7,1;-1,6;4,4;;;
